raceId,constructorId,mean_pit_stop
944,15,25.794
944,131,23.636
944,208,25.283
944,209,26.21
945,1,25.296
945,3,25.652
945,5,22.898
945,6,22.8
945,9,21.892
945,10,22.064
945,15,23.667
945,131,21.489
945,208,22.218
945,209,23.36
948,1,287.679
948,3,555.43
948,4,421.562
948,5,379.253
948,6,449.414
948,9,378.016
948,10,555.838
948,15,446.241
948,131,555.715
948,209,288.866
948,210,1089.417
949,1,24.867
949,3,23.75
949,4,25.2
949,5,27.982
949,6,25.066
949,9,24.893
949,10,26.872
949,15,25.507
949,131,25.331
949,209,26.204
949,210,28.686
950,1,23.082
950,3,22.706
950,4,23.212
950,5,24.96
950,6,25.334
950,9,23.109
950,10,24.566
950,15,26.693
950,131,24.074
950,209,24.589
950,210,28.531
951,1,30.166
951,3,29.819
951,4,30.695
951,5,30.679
951,6,30.498
951,9,39.789
951,10,31.6
951,15,30.407
951,131,29.855
951,209,44.292
951,210,32.209
952,1,22.413
952,3,22.016
952,4,22.762
952,5,22.818
952,6,22.028
952,9,22.229
952,10,22.258
952,15,22.985
952,209,25.97
952,210,25.3
953,1,25.891
953,3,25.526
953,4,30.378
953,5,39.215
953,6,25.338
953,9,27.861
953,10,25.9
953,15,31.344
953,131,26.898
953,209,27.326
953,210,28.013
954,1,27.952
954,3,22.554
954,4,23.162
954,5,23.397
954,6,22.76
954,9,23.346
954,10,23.325
954,15,23.463
954,131,22.479
954,209,26.025
954,210,25.238
955,1,20.44
955,3,19.678
955,4,20.766
955,5,22.62
955,6,20.508
955,9,20.64
955,10,20.48
955,15,20.756
955,131,20.083
955,209,29.796
955,210,23.87
956,1,20.241
956,3,20.012
956,4,20.774
956,5,24.901
956,6,20.526
956,9,19.827
956,10,20.564
956,15,20.592
956,131,19.979
956,209,20.67
956,210,19.976
957,1,29.958
957,3,29.416
957,4,35.904
957,5,30.331
957,6,30.146
957,9,30.359
957,10,29.751
957,15,50.374
957,131,29.545
957,209,30.648
957,210,33.476
958,1,21.086
958,3,21.817
958,4,21.9
958,5,23.858
958,6,21.746
958,9,22.081
958,10,24.498
958,15,23.224
958,131,21.7
958,209,23.502
958,210,22.52
959,1,19.274
959,3,23.241
959,4,20.781
959,5,20.796
959,6,19.794
959,9,18.967
959,10,19.416
959,15,21.806
959,131,20.437
959,209,22.086
959,210,19.897
960,1,510.343
960,3,348.083
960,4,267.211
960,5,349.063
960,6,302.862
960,9,349.445
960,10,348.794
960,15,352.609
960,131,413.2
960,209,351.302
960,210,348.641
961,1,25.093
961,3,23.956
961,4,27.179
961,5,24.797
961,6,24.725
961,9,23.954
961,10,24.292
961,15,224.995
961,131,24.592
961,209,25.751
961,210,25.335
962,1,30.878
962,3,33.476
962,4,27.865
962,5,28.372
962,6,27.809
962,9,28.094
962,10,30.782
962,15,28.554
962,131,28.029
962,209,41.003
962,210,28.995
963,1,24.512
963,3,23.89
963,4,27.304
963,5,26.068
963,6,24.602
963,9,24.934
963,10,25.357
963,15,24.892
