year,race_name,constructor_name,total_stops,mean_pit_stop,delta_pit_stop,race_points,season_points,championship_standing,target_top5
2012,Chinese Grand Prix,McLaren,6,21.571,-0.558,33.0,88.0,1.0,1
2012,Chinese Grand Prix,Red Bull,5,20.783,-1.346,22.0,64.0,2.0,1
2012,Chinese Grand Prix,Ferrari,5,20.151,-1.978,2.0,37.0,3.0,1
2012,Chinese Grand Prix,Sauber,5,21.986,-0.143,1.0,31.0,4.0,1
2012,Chinese Grand Prix,Mercedes,3,21.168,-0.961,25.0,26.0,5.0,1
2012,Chinese Grand Prix,Lotus F1,4,22.486,0.357,8.0,24.0,6.0,0
2012,Chinese Grand Prix,Williams,4,21.326,-0.803,10.0,18.0,7.0,0
2012,Chinese Grand Prix,Force India,4,23.707,1.578,0.0,9.0,8.0,0
2012,Chinese Grand Prix,Toro Rosso,5,22.638,0.509,0.0,6.0,9.0,0
2012,Chinese Grand Prix,Marussia,5,20.542,-1.587,0.0,0.0,10.0,0
2012,Chinese Grand Prix,Caterham,5,25.385,3.256,0.0,0.0,11.0,0
2012,Chinese Grand Prix,HRT,4,23.803,1.674,0.0,0.0,12.0,0
2012,Bahrain Grand Prix,Red Bull,6,22.187,-1.172,37.0,101.0,1.0,1
2012,Bahrain Grand Prix,McLaren,7,24.929,1.57,4.0,92.0,2.0,1
2012,Bahrain Grand Prix,Lotus F1,6,22.713,-0.646,33.0,57.0,3.0,1
2012,Bahrain Grand Prix,Ferrari,6,22.701,-0.658,8.0,45.0,4.0,1
2012,Bahrain Grand Prix,Mercedes,6,22.216,-1.143,11.0,37.0,5.0,1
2012,Bahrain Grand Prix,Sauber,6,23.797,0.438,0.0,31.0,6.0,0
2012,Bahrain Grand Prix,Williams,5,22.742,-0.617,0.0,18.0,7.0,0
2012,Bahrain Grand Prix,Force India,5,22.394,-0.965,8.0,17.0,8.0,0
2012,Bahrain Grand Prix,Toro Rosso,6,23.163,-0.196,0.0,6.0,9.0,0
2012,Bahrain Grand Prix,Marussia,4,25.006,1.647,0.0,0.0,10.0,0
2012,Bahrain Grand Prix,Caterham,7,23.597,0.238,0.0,0.0,11.0,0
